embryonic_score,celltype,condition,x_group,color_cond
-0.06988172491718567,All fibroblasts,Control,CTRL,Control
-0.049482880459722094,All fibroblasts,Control,CTRL,Control
0.0008031375948420391,All fibroblasts,Control,CTRL,Control
-0.14548809024285994,All fibroblasts,Control,CTRL,Control
-0.10551735635756802,All fibroblasts,Control,CTRL,Control
-0.12460847862429131,All fibroblasts,Control,CTRL,Control
-0.01819075301501446,All fibroblasts,Control,CTRL,Control
-0.08017804384947291,All fibroblasts,Control,CTRL,Control
-0.07284804553719867,All fibroblasts,Control,CTRL,Control
-0.10122327938402995,All fibroblasts,Control,CTRL,Control
-0.1266140685285961,All fibroblasts,Control,CTRL,Control
-0.18569238812123412,All fibroblasts,Control,CTRL,Control
-0.061474069525720196,All fibroblasts,Control,CTRL,Control
-0.21775553550652674,All fibroblasts,Control,CTRL,Control
