embryonic_score,celltype,condition,celltype_short
-0.08703764974149106,Fibroblast 3,Control,FIB3
-0.05329451466085325,Fibroblast 3,Control,FIB3
-0.029894229374702562,Fibroblast 2,Control,FIB2
-0.04555627598636504,Fibroblast 3,Control,FIB3
-0.09986434670050795,Fibroblast 2,Control,FIB2
-0.01901989374887894,Fibroblast 3,Control,FIB3
-0.06768012365454662,Fibroblast 3,Control,FIB3
-0.09220666266531174,Fibroblast 2,Control,FIB2
-0.023367699738277216,Fibroblast 1,Control,FIB1
-0.11332285618582001,Fibroblast 3,Control,FIB3
-0.07346598415013007,Fibroblast 3,Control,FIB3
-0.14597812950369438,Fibroblast 2,Control,FIB2
-0.16492714515068235,Fibroblast 2,Control,FIB2
-0.15867615985546715,Fibroblast 2,Control,FIB2
-0.05620500484366964,Fibroblast 2,Control,FIB2
-0.07508970476492788,Fibroblast 3,Control,FIB3
-0.08182813055665379,Fibroblast 3,Control,FIB3
-0.07776717430525049,Fibroblast 1,Control,FIB1
-0.04867370304162822,Fibroblast 2,Control,FIB2
-0.08234763960278477,Fibroblast 3,Control,FIB3
-0.1437129684942966,Fibroblast 2,Control,FIB2
-0.029037709624218297,Fibroblast 1,Control,FIB1
-0.1379076282816007,Fibroblast 2,Control,FIB2
0.025316391575820357,Fibroblast 1,Control,FIB1
-0.05684891156575379,Fibroblast 3,Control,FIB3
-0.11611479767995182,Fibroblast 2,Control,FIB2
-0.1125450958797086,Fibroblast 3,Control,FIB3
-0.17650460362386344,Fibroblast 2,Control,FIB2
-0.1400999480712496,Fibroblast 2,Control,FIB2
-0.09480403441803555,Fibroblast 2,Control,FIB2
-0.04027467617478386,Fibroblast 1,Control,FIB1
-0.11321431873091735,Fibroblast 2,Control,FIB2
-0.14247755073082674,Fibroblast 2,Control,FIB2
-0.05433833444418639,Fibroblast 2,Control,FIB2
0.03543017985720787,Fibroblast 3,Control,FIB3
-0.13075044171411176,Fibroblast 3,Control,FIB3
-0.03170376508235641,Fibroblast 1,Control,FIB1
-0.09799907687267492,Fibroblast 3,Control,FIB3
-0.1751525521357215,Fibroblast 3,Control,FIB3
-0.055214813589079814,Fibroblast 1,Control,FIB1
-0.06262394922200007,Fibroblast 1,Control,FIB1
-0.061258337218066644,Fibroblast 2,Control,FIB2
-0.06551443515835624,Fibroblast 3,Control,FIB3
-0.08405523627885741,Fibroblast 2,Control,FIB2
-0.06264441739457687,Fibroblast 1,Control,FIB1
-0.0833763653997443,Fibroblast 3,Control,FIB3
0.0130175070268044,Fibroblast 3,Control,FIB3
-0.012281088890634288,Fibroblast 2,Control,FIB2
0.07731078530727653,Fibroblast 1,Control,FIB1
-0.12107253049100235,Fibroblast 1,Control,FIB1
-0.10026418499423462,Fibroblast 2,Control,FIB2
0.024991800927140623,Fibroblast 1,Control,FIB1
-0.052262933769236214,Fibroblast 2,Control,FIB2
-0.11291933710922242,Fibroblast 2,Control,FIB2
-0.14447929370933854,Fibroblast 1,Control,FIB1
-0.06904407722444028,Fibroblast 1,Control,FIB1
-0.10754917899953424,Fibroblast 3,Control,FIB3
-0.06295780125420951,Fibroblast 3,Control,FIB3
-0.08088405472478545,Fibroblast 1,Control,FIB1
-0.038601241009665624,Fibroblast 3,Control,FIB3
0.015040126541546649,Fibroblast 1,Control,FIB1
-0.1289907334520895,Fibroblast 1,Control,FIB1
-0.04901632776877492,Fibroblast 1,Control,FIB1
-0.09069650187499083,Fibroblast 2,Control,FIB2
-0.11968157620488121,Fibroblast 3,Control,FIB3
-0.030207948267923446,Fibroblast 2,Control,FIB2
-0.058238849901058314,Fibroblast 3,Control,FIB3
