embryonic_score,celltype,condition,celltype_short
-0.07295486326724782,Fibroblast 2,Control,FIB2
-0.08733254795093039,Fibroblast 2,Control,FIB2
0.02512997081830988,Fibroblast 1,Control,FIB1
0.09624357320017411,Fibroblast 3,Control,FIB3
-0.057227848866918174,Fibroblast 1,Control,FIB1
0.021988146945585686,Fibroblast 3,Control,FIB3
0.0336276771121589,Fibroblast 3,Control,FIB3
0.11556316865449873,Fibroblast 1,Control,FIB1
0.14511977042509744,Fibroblast 2,Control,FIB2
0.0476352673974656,Fibroblast 1,Control,FIB1
-0.07557382873642196,Fibroblast 2,Control,FIB2
-0.03094780061346681,Fibroblast 4,Control,FIB4
0.21414469594479327,Fibroblast 4,Control,FIB4
-0.11269228340486279,Fibroblast 2,Control,FIB2
0.026569896509128582,Fibroblast 3,Control,FIB3
0.15823536798503005,Fibroblast 1,Control,FIB1
0.10095356306039747,Fibroblast 3,Control,FIB3
-0.03250169281298482,Fibroblast 2,Control,FIB2
0.02108279128091722,Fibroblast 2,Control,FIB2
0.17075859423120324,Fibroblast 3,Control,FIB3
0.09844004816093169,Fibroblast 1,Control,FIB1
0.19172159341397155,Fibroblast 1,Control,FIB1
-0.04535263341339034,Fibroblast 3,Control,FIB3
